tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38899,8621,6742836,133084,2017-08-01 16:23:56
892177421306343426,33312,6335,6742837,133084,2017-08-01 00:17:27
891815181378084864,25103,4203,6742837,133084,2017-07-31 00:18:03
891689557279858688,42257,8739,6742837,133084,2017-07-30 15:58:51
891327558926688256,40417,9501,6742837,133084,2017-07-29 16:00:24
891087950875897856,20272,3148,6742837,133084,2017-07-29 00:08:17
890971913173991426,11887,2097,6742837,133084,2017-07-28 16:27:12
890729181411237888,65730,19107,6742837,133084,2017-07-28 00:22:40
890609185150312448,27848,4315,6742837,133084,2017-07-27 16:25:51
890240255349198849,32031,7498,6742837,133084,2017-07-26 15:59:51
890006608113172480,30744,7424,6742837,133084,2017-07-26 00:31:25
889880896479866881,27865,5020,6742837,133084,2017-07-25 16:11:53
889665388333682689,48243,10173,6742837,133084,2017-07-25 01:55:32
889638837579907072,27254,4593,6742837,133084,2017-07-25 00:10:02
889531135344209921,15128,2262,6742837,133084,2017-07-24 17:02:04
889278841981685760,25376,5492,6742837,133084,2017-07-24 00:19:32
888917238123831296,29165,4551,6742837,133084,2017-07-23 00:22:39
888804989199671297,25660,4391,6742837,133084,2017-07-22 16:56:37
888554962724278272,19967,3621,6742837,133084,2017-07-22 00:23:06
888078434458587136,21829,3534,6742837,133084,2017-07-20 16:49:33
887705289381826560,30280,5451,6742837,133084,2017-07-19 16:06:48
887517139158093824,46373,11792,6742837,133084,2017-07-19 03:39:09
887473957103951883,69303,18430,6742838,133084,2017-07-19 00:47:34
887343217045368832,33781,10513,6742838,133084,2017-07-18 16:08:03
887101392804085760,30635,6028,6742838,133084,2017-07-18 00:07:08
886983233522544640,35260,7846,6742838,133084,2017-07-17 16:17:36
886736880519319552,12108,3335,6742838,133084,2017-07-16 23:58:41
886680336477933568,22489,4519,6742838,133084,2017-07-16 20:14:00
886366144734445568,21185,3220,6742838,133084,2017-07-15 23:25:31
886267009285017600,116,4,6742838,133084,2017-07-15 16:51:35
